Total Nacional,Comunidades y Ciudades Autónomas,Periodo,Total
Total Nacional,14 Murcia,2018T1,1120
Total Nacional,14 Murcia,2017T4,1095
Total Nacional,14 Murcia,2017T3,2462
Total Nacional,14 Murcia,2017T2,1093
Total Nacional,14 Murcia,2017T1,1065
Total Nacional,14 Murcia,2016T4,665
Total Nacional,14 Murcia,2016T3,1236
Total Nacional,14 Murcia,2016T2,1088
Total Nacional,14 Murcia,2016T1,1404
Total Nacional,14 Murcia,2015T4,1082
Total Nacional,14 Murcia,2015T3,1847
Total Nacional,14 Murcia,2015T2,1300
Total Nacional,14 Murcia,2015T1,1236
Total Nacional,14 Murcia,2014T4,976
Total Nacional,14 Murcia,2014T3,1214
Total Nacional,14 Murcia,2014T2,1216
Total Nacional,14 Murcia,2014T1,435
Total Nacional,14 Murcia,2013T4,1081
Total Nacional,14 Murcia,2013T3,906
Total Nacional,15 Navarra,2023T4,3427
Total Nacional,15 Navarra,2023T3,3729
Total Nacional,15 Navarra,2023T2,3884
Total Nacional,15 Navarra,2023T1,3333
Total Nacional,15 Navarra,2022T4,2893
Total Nacional,15 Navarra,2022T3,4052
Total Nacional,15 Navarra,2022T2,3503
Total Nacional,15 Navarra,2022T1,3255
Total Nacional,15 Navarra,2021T4,3050
Total Nacional,15 Navarra,2021T3,2891
Total Nacional,15 Navarra,2021T2,2829
Total Nacional,15 Navarra,2021T1,2262
Total Nacional,15 Navarra,2020T4,2787
Total Nacional,15 Navarra,2020T3,2854
Total Nacional,15 Navarra,2020T2,2626
Total Nacional,15 Navarra,2020T1,2666
Total Nacional,15 Navarra,2019T4,2747
Total Nacional,15 Navarra,2019T3,2973
Total Nacional,15 Navarra,2019T2,2861
Total Nacional,15 Navarra,2019T1,3059
Total Nacional,15 Navarra,2018T4,3082
Total Nacional,15 Navarra,2018T3,3440
Total Nacional,15 Navarra,2018T2,3279
Total Nacional,15 Navarra,2018T1,2793
Total Nacional,15 Navarra,2017T4,2489
Total Nacional,15 Navarra,2017T3,2855
Total Nacional,15 Navarra,2017T2,2886
Total Nacional,15 Navarra,2017T1,2320
Total Nacional,15 Navarra,2016T4,1274
Total Nacional,15 Navarra,2016T3,2062
Total Nacional,15 Navarra,2016T2,659
Total Nacional,15 Navarra,2016T1,558
Total Nacional,15 Navarra,2015T4,258
Total Nacional,15 Navarra,2015T3,406
Total Nacional,15 Navarra,2015T2,716
Total Nacional,15 Navarra,2015T1,809
Total Nacional,15 Navarra,2014T4,353
Total Nacional,15 Navarra,2014T3,679
Total Nacional,15 Navarra,2014T2,762
Total Nacional,15 Navarra,2014T1,469
Total Nacional,15 Navarra,2013T4,482
Total Nacional,15 Navarra,2013T3,541
Total Nacional,16 País Vasco,2023T4,4944
Total Nacional,16 País Vasco,2023T3,5447
Total Nacional,16 País Vasco,2023T2,5136
Total Nacional,16 País Vasco,2023T1,4437
Total Nacional,16 País Vasco,2022T4,5601
Total Nacional,16 País Vasco,2022T3,5382
Total Nacional,16 País Vasco,2022T2,5238
Total Nacional,16 País Vasco,2022T1,5000
Total Nacional,16 País Vasco,2021T4,2761
Total Nacional,16 País Vasco,2021T3,2844
Total Nacional,16 País Vasco,2021T2,3561
Total Nacional,16 País Vasco,2021T1,2475
Total Nacional,16 País Vasco,2020T4,3076
Total Nacional,16 País Vasco,2020T3,3017
Total Nacional,16 País Vasco,2020T2,2201
Total Nacional,16 País Vasco,2020T1,5933
Total Nacional,16 País Vasco,2019T4,3596
Total Nacional,16 País Vasco,2019T3,4654
Total Nacional,16 País Vasco,2019T2,4466
Total Nacional,16 País Vasco,2019T1,5321
Total Nacional,16 País Vasco,2018T4,6317
Total Nacional,16 País Vasco,2018T3,6625
Total Nacional,16 País Vasco,2018T2,5099
Total Nacional,16 País Vasco,2018T1,6337
Total Nacional,16 País Vasco,2017T4,4578
Total Nacional,16 País Vasco,2017T3,4415
Total Nacional,16 País Vasco,2017T2,4528
Total Nacional,16 País Vasco,2017T1,4564
Total Nacional,16 País Vasco,2016T4,3926
Total Nacional,16 País Vasco,2016T3,3924
Total Nacional,16 País Vasco,2016T2,3886
Total Nacional,16 País Vasco,2016T1,2977
Total Nacional,16 País Vasco,2015T4,4390
Total Nacional,16 País Vasco,2015T3,2610
Total Nacional,16 País Vasco,2015T2,3143
Total Nacional,16 País Vasco,2015T1,2249
Total Nacional,16 País Vasco,2014T4,1671
Total Nacional,16 País Vasco,2014T3,2180
Total Nacional,16 País Vasco,2014T2,2203
Total Nacional,16 País Vasco,2014T1,2774
Total Nacional,16 País Vasco,2013T4,1779
Total Nacional,16 País Vasco,2013T3,2321
Total Nacional,17 La Rioja,2023T4,560
Total Nacional,17 La Rioja,2023T3,658
Total Nacional,17 La Rioja,2023T2,561
Total Nacional,17 La Rioja,2023T1,521
Total Nacional,17 La Rioja,2022T4,369
Total Nacional,17 La Rioja,2022T3,396
Total Nacional,17 La Rioja,2022T2,598
Total Nacional,17 La Rioja,2022T1,673
Total Nacional,17 La Rioja,2021T4,553
Total Nacional,17 La Rioja,2021T3,562
Total Nacional,17 La Rioja,2021T2,663
Total Nacional,17 La Rioja,2021T1,645
Total Nacional,17 La Rioja,2020T4,400
Total Nacional,17 La Rioja,2020T3,444
Total Nacional,17 La Rioja,2020T2,315
Total Nacional,17 La Rioja,2020T1,483
Total Nacional,17 La Rioja,2019T4,453
Total Nacional,17 La Rioja,2019T3,565
Total Nacional,17 La Rioja,2019T2,901
Total Nacional,17 La Rioja,2019T1,379
Total Nacional,17 La Rioja,2018T4,613
Total Nacional,17 La Rioja,2018T3,531
Total Nacional,17 La Rioja,2018T2,524
Total Nacional,17 La Rioja,2018T1,308
Total Nacional,17 La Rioja,2017T4,365
Total Nacional,17 La Rioja,2017T3,454
Total Nacional,17 La Rioja,2017T2,517
Total Nacional,17 La Rioja,2017T1,519
Total Nacional,17 La Rioja,2016T4,287
Total Nacional,17 La Rioja,2016T3,320
Total Nacional,17 La Rioja,2016T2,683
Total Nacional,17 La Rioja,2016T1,684
Total Nacional,17 La Rioja,2015T4,444
Total Nacional,17 La Rioja,2015T3,330
Total Nacional,17 La Rioja,2015T2,523
Total Nacional,17 La Rioja,2015T1,261
Total Nacional,17 La Rioja,2014T4,117
Total Nacional,17 La Rioja,2014T3,206
Total Nacional,17 La Rioja,2014T2,159
Total Nacional,17 La Rioja,2014T1,596
Total Nacional,17 La Rioja,2013T4,194
Total Nacional,17 La Rioja,2013T3,333
