,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total,Total2,Total3
0,Ambos sexos,Total Nacional,Total,2023T4,11,76,11.76
1,Ambos sexos,Total Nacional,Total,2023T3,11,84,11.84
2,Ambos sexos,Total Nacional,Total,2023T2,11,6,11.6
3,Ambos sexos,Total Nacional,Total,2023T1,13,26,13.26
4,Ambos sexos,Total Nacional,Total,2022T4,12,87,12.87
5,Ambos sexos,Total Nacional,Total,2022T3,12,67,12.67
6,Ambos sexos,Total Nacional,Total,2022T2,12,48,12.48
7,Ambos sexos,Total Nacional,Total,2022T1,13,65,13.65
8,Ambos sexos,Total Nacional,Total,2021T4,13,33,13.33
9,Ambos sexos,Total Nacional,Total,2021T3,14,57,14.57
10,Ambos sexos,Total Nacional,Total,2021T2,15,26,15.26
11,Ambos sexos,Total Nacional,Total,2021T1,15,98,15.98
12,Ambos sexos,Total Nacional,Total,2020T4,16,13,16.13
13,Ambos sexos,Total Nacional,Total,2020T3,16,26,16.26
14,Ambos sexos,Total Nacional,Total,2020T2,15,33,15.33
15,Ambos sexos,Total Nacional,Total,2020T1,14,41,14.41
16,Ambos sexos,Total Nacional,Total,2019T4,13,78,13.78
17,Ambos sexos,Total Nacional,Total,2019T3,13,92,13.92
18,Ambos sexos,Total Nacional,Total,2019T2,14,2,14.2
19,Ambos sexos,Total Nacional,Total,2019T1,14,7,14.7
20,Ambos sexos,Total Nacional,Total,2018T4,14,45,14.45
21,Ambos sexos,Total Nacional,Total,2018T3,14,55,14.55
22,Ambos sexos,Total Nacional,Total,2018T2,15,28,15.28
23,Ambos sexos,Total Nacional,Total,2018T1,16,74,16.74
24,Ambos sexos,Total Nacional,Total,2017T4,16,55,16.55
25,Ambos sexos,Total Nacional,Total,2017T3,16,38,16.38
26,Ambos sexos,Total Nacional,Total,2017T2,17,22,17.22
27,Ambos sexos,Total Nacional,Total,2017T1,18,75,18.75
28,Ambos sexos,Total Nacional,Total,2016T4,18,63,18.63
29,Ambos sexos,Total Nacional,Total,2016T3,18,91,18.91
30,Ambos sexos,Total Nacional,Total,2016T2,20,,20.
31,Ambos sexos,Total Nacional,Total,2016T1,21,,21.
32,Ambos sexos,Total Nacional,Total,2015T4,20,9,20.9
33,Ambos sexos,Total Nacional,Total,2015T3,21,18,21.18
34,Ambos sexos,Total Nacional,Total,2015T2,22,37,22.37
35,Ambos sexos,Total Nacional,Total,2015T1,23,78,23.78
36,Ambos sexos,Total Nacional,Total,2014T4,23,7,23.7
37,Ambos sexos,Total Nacional,Total,2014T3,23,67,23.67
38,Ambos sexos,Total Nacional,Total,2014T2,24,47,24.47
39,Ambos sexos,Total Nacional,Total,2014T1,25,93,25.93
40,Ambos sexos,Total Nacional,Total,2013T4,25,73,25.73
41,Ambos sexos,Total Nacional,Total,2013T3,25,65,25.65
42,Ambos sexos,Total Nacional,Total,2013T2,26,6,26.6
43,Ambos sexos,Total Nacional,Total,2013T1,26,94,26.94
44,Ambos sexos,Total Nacional,Total,2012T4,25,77,25.77
45,Ambos sexos,Total Nacional,Total,2012T3,24,79,24.79
46,Ambos sexos,Total Nacional,Total,2012T2,24,4,24.4
47,Ambos sexos,Total Nacional,Total,2012T1,24,19,24.19
48,Ambos sexos,Total Nacional,Total,2011T4,22,56,22.56
49,Ambos sexos,Total Nacional,Total,2011T3,21,28,21.28
50,Ambos sexos,Total Nacional,Total,2011T2,20,64,20.64
51,Ambos sexos,Total Nacional,Total,2011T1,21,8,21.8
52,Ambos sexos,Total Nacional,Total,2010T4,20,11,20.11
53,Ambos sexos,Total Nacional,Total,2010T3,19,59,19.59
54,Ambos sexos,Total Nacional,Total,2010T2,19,89,19.89
55,Ambos sexos,Total Nacional,Total,2010T1,19,84,19.84
56,Ambos sexos,Total Nacional,Total,2009T4,18,66,18.66
57,Ambos sexos,Total Nacional,Total,2009T3,17,75,17.75
58,Ambos sexos,Total Nacional,Total,2009T2,17,77,17.77
59,Ambos sexos,Total Nacional,Total,2009T1,17,24,17.24
60,Ambos sexos,Total Nacional,Total,2008T4,13,79,13.79
61,Ambos sexos,Total Nacional,Total,2008T3,11,23,11.23
62,Ambos sexos,Total Nacional,Total,2008T2,10,36,10.36
63,Ambos sexos,Total Nacional,Total,2008T1,9,6,9.6
64,Ambos sexos,Total Nacional,Total,2007T4,8,57,8.57
65,Ambos sexos,Total Nacional,Total,2007T3,8,1,8.1
66,Ambos sexos,Total Nacional,Total,2007T2,7,93,7.93
67,Ambos sexos,Total Nacional,Total,2007T1,8,42,8.42
68,Ambos sexos,Total Nacional,Total,2006T4,8,26,8.26
69,Ambos sexos,Total Nacional,Total,2006T3,8,8,8.8
70,Ambos sexos,Total Nacional,Total,2006T2,8,44,8.44
71,Ambos sexos,Total Nacional,Total,2006T1,9,3,9.3
72,Ambos sexos,Total Nacional,Total,2005T4,8,71,8.71
73,Ambos sexos,Total Nacional,Total,2005T3,8,41,8.41
74,Ambos sexos,Total Nacional,Total,2005T2,9,32,9.32
75,Ambos sexos,Total Nacional,Total,2005T1,10,17,10.17
76,Ambos sexos,Total Nacional,Total,2004T4,10,53,10.53
77,Ambos sexos,Total Nacional,Total,2004T3,10,74,10.74
78,Ambos sexos,Total Nacional,Total,2004T2,11,9,11.9
79,Ambos sexos,Total Nacional,Total,2004T1,11,5,11.5
80,Ambos sexos,Total Nacional,Total,2003T4,11,37,11.37
81,Ambos sexos,Total Nacional,Total,2003T3,11,3,11.3
82,Ambos sexos,Total Nacional,Total,2003T2,11,28,11.28
83,Ambos sexos,Total Nacional,Total,2003T1,11,99,11.99
84,Ambos sexos,Total Nacional,Total,2002T4,11,61,11.61
85,Ambos sexos,Total Nacional,Total,2002T3,11,49,11.49
86,Ambos sexos,Total Nacional,Total,2002T2,11,15,11.15
87,Ambos sexos,Total Nacional,Total,2002T1,11,55,11.55
88,Ambos sexos,Total Nacional,Menores de 25 años,2023T4,28,36,28.36
89,Ambos sexos,Total Nacional,Menores de 25 años,2023T3,27,82,27.82
90,Ambos sexos,Total Nacional,Menores de 25 años,2023T2,27,94,27.94
91,Ambos sexos,Total Nacional,Menores de 25 años,2023T1,30,3,30.3
92,Ambos sexos,Total Nacional,Menores de 25 años,2022T4,29,26,29.26
93,Ambos sexos,Total Nacional,Menores de 25 años,2022T3,31,1,31.1
94,Ambos sexos,Total Nacional,Menores de 25 años,2022T2,28,52,28.52
95,Ambos sexos,Total Nacional,Menores de 25 años,2022T1,30,18,30.18
96,Ambos sexos,Total Nacional,Menores de 25 años,2021T4,30,7,30.7
97,Ambos sexos,Total Nacional,Menores de 25 años,2021T3,31,15,31.15
98,Ambos sexos,Total Nacional,Menores de 25 años,2021T2,38,38,38.38
99,Ambos sexos,Total Nacional,Menores de 25 años,2021T1,39,53,39.53
100,Ambos sexos,Total Nacional,Menores de 25 años,2020T4,40,13,40.13
101,Ambos sexos,Total Nacional,Menores de 25 años,2020T3,40,45,40.45
102,Ambos sexos,Total Nacional,Menores de 25 años,2020T2,39,61,39.61
103,Ambos sexos,Total Nacional,Menores de 25 años,2020T1,32,99,32.99
104,Ambos sexos,Total Nacional,Menores de 25 años,2019T4,30,51,30.51
105,Ambos sexos,Total Nacional,Menores de 25 años,2019T3,31,68,31.68
106,Ambos sexos,Total Nacional,Menores de 25 años,2019T2,33,14,33.14
107,Ambos sexos,Total Nacional,Menores de 25 años,2019T1,34,97,34.97
108,Ambos sexos,Total Nacional,Menores de 25 años,2018T4,33,54,33.54
109,Ambos sexos,Total Nacional,Menores de 25 años,2018T3,33,,33.
110,Ambos sexos,Total Nacional,Menores de 25 años,2018T2,34,68,34.68
111,Ambos sexos,Total Nacional,Menores de 25 años,2018T1,36,34,36.34
112,Ambos sexos,Total Nacional,Menores de 25 años,2017T4,37,46,37.46
113,Ambos sexos,Total Nacional,Menores de 25 años,2017T3,35,97,35.97
114,Ambos sexos,Total Nacional,Menores de 25 años,2017T2,39,53,39.53
115,Ambos sexos,Total Nacional,Menores de 25 años,2017T1,41,66,41.66
116,Ambos sexos,Total Nacional,Menores de 25 años,2016T4,42,92,42.92
117,Ambos sexos,Total Nacional,Menores de 25 años,2016T3,41,94,41.94
118,Ambos sexos,Total Nacional,Menores de 25 años,2016T2,46,48,46.48
119,Ambos sexos,Total Nacional,Menores de 25 años,2016T1,46,5,46.5
120,Ambos sexos,Total Nacional,Menores de 25 años,2015T4,46,24,46.24
121,Ambos sexos,Total Nacional,Menores de 25 años,2015T3,46,58,46.58
122,Ambos sexos,Total Nacional,Menores de 25 años,2015T2,49,22,49.22
123,Ambos sexos,Total Nacional,Menores de 25 años,2015T1,51,36,51.36
124,Ambos sexos,Total Nacional,Menores de 25 años,2014T4,51,8,51.8
125,Ambos sexos,Total Nacional,Menores de 25 años,2014T3,52,39,52.39
126,Ambos sexos,Total Nacional,Menores de 25 años,2014T2,53,12,53.12
127,Ambos sexos,Total Nacional,Menores de 25 años,2014T1,55,49,55.49
128,Ambos sexos,Total Nacional,Menores de 25 años,2013T4,54,89,54.89
129,Ambos sexos,Total Nacional,Menores de 25 años,2013T3,54,14,54.14
130,Ambos sexos,Total Nacional,Menores de 25 años,2013T2,55,98,55.98
131,Ambos sexos,Total Nacional,Menores de 25 años,2013T1,56,92,56.92
132,Ambos sexos,Total Nacional,Menores de 25 años,2012T4,54,83,54.83
133,Ambos sexos,Total Nacional,Menores de 25 años,2012T3,52,1,52.1
134,Ambos sexos,Total Nacional,Menores de 25 años,2012T2,53,4,53.4
135,Ambos sexos,Total Nacional,Menores de 25 años,2012T1,51,67,51.67
136,Ambos sexos,Total Nacional,Menores de 25 años,2011T4,48,14,48.14
137,Ambos sexos,Total Nacional,Menores de 25 años,2011T3,45,58,45.58
138,Ambos sexos,Total Nacional,Menores de 25 años,2011T2,45,87,45.87
139,Ambos sexos,Total Nacional,Menores de 25 años,2011T1,45,3,45.3
140,Ambos sexos,Total Nacional,Menores de 25 años,2010T4,42,73,42.73
141,Ambos sexos,Total Nacional,Menores de 25 años,2010T3,40,56,40.56
142,Ambos sexos,Total Nacional,Menores de 25 años,2010T2,41,97,41.97
143,Ambos sexos,Total Nacional,Menores de 25 años,2010T1,40,73,40.73
144,Ambos sexos,Total Nacional,Menores de 25 años,2009T4,38,81,38.81
145,Ambos sexos,Total Nacional,Menores de 25 años,2009T3,38,57,38.57
146,Ambos sexos,Total Nacional,Menores de 25 años,2009T2,38,6,38.6
147,Ambos sexos,Total Nacional,Menores de 25 años,2009T1,35,54,35.54
148,Ambos sexos,Total Nacional,Menores de 25 años,2008T4,28,97,28.97
149,Ambos sexos,Total Nacional,Menores de 25 años,2008T3,24,18,24.18
150,Ambos sexos,Total Nacional,Menores de 25 años,2008T2,23,62,23.62
151,Ambos sexos,Total Nacional,Menores de 25 años,2008T1,21,8,21.8
152,Ambos sexos,Total Nacional,Menores de 25 años,2007T4,18,66,18.66
153,Ambos sexos,Total Nacional,Menores de 25 años,2007T3,17,87,17.87
154,Ambos sexos,Total Nacional,Menores de 25 años,2007T2,18,12,18.12
155,Ambos sexos,Total Nacional,Menores de 25 años,2007T1,17,72,17.72
156,Ambos sexos,Total Nacional,Menores de 25 años,2006T4,17,81,17.81
157,Ambos sexos,Total Nacional,Menores de 25 años,2006T3,16,9,16.9
158,Ambos sexos,Total Nacional,Menores de 25 años,2006T2,18,2,18.2
159,Ambos sexos,Total Nacional,Menores de 25 años,2006T1,18,71,18.71
160,Ambos sexos,Total Nacional,Menores de 25 años,2005T4,18,62,18.62
161,Ambos sexos,Total Nacional,Menores de 25 años,2005T3,18,1,18.1
162,Ambos sexos,Total Nacional,Menores de 25 años,2005T2,20,29,20.29
163,Ambos sexos,Total Nacional,Menores de 25 años,2005T1,21,69,21.69
164,Ambos sexos,Total Nacional,Menores de 25 años,2004T4,21,27,21.27
165,Ambos sexos,Total Nacional,Menores de 25 años,2004T3,21,63,21.63
166,Ambos sexos,Total Nacional,Menores de 25 años,2004T2,22,46,22.46
167,Ambos sexos,Total Nacional,Menores de 25 años,2004T1,22,65,22.65
168,Ambos sexos,Total Nacional,Menores de 25 años,2003T4,22,94,22.94
169,Ambos sexos,Total Nacional,Menores de 25 años,2003T3,22,19,22.19
170,Ambos sexos,Total Nacional,Menores de 25 años,2003T2,22,28,22.28
171,Ambos sexos,Total Nacional,Menores de 25 años,2003T1,23,39,23.39
172,Ambos sexos,Total Nacional,Menores de 25 años,2002T4,23,16,23.16
173,Ambos sexos,Total Nacional,Menores de 25 años,2002T3,22,5,22.5
174,Ambos sexos,Total Nacional,Menores de 25 años,2002T2,21,5,21.5
175,Ambos sexos,Total Nacional,Menores de 25 años,2002T1,22,8,22.8
176,Ambos sexos,Total Nacional,25 y más años,2023T4,10,5,10.5
177,Ambos sexos,Total Nacional,25 y más años,2023T3,10,5,10.5
178,Ambos sexos,Total Nacional,25 y más años,2023T2,10,36,10.36
179,Ambos sexos,Total Nacional,25 y más años,2023T1,12,6,12.6
180,Ambos sexos,Total Nacional,25 y más años,2022T4,11,69,11.69
181,Ambos sexos,Total Nacional,25 y más años,2022T3,11,2,11.2
182,Ambos sexos,Total Nacional,25 y más años,2022T2,11,27,11.27
183,Ambos sexos,Total Nacional,25 y más años,2022T1,12,49,12.49
184,Ambos sexos,Total Nacional,25 y más años,2021T4,12,15,12.15
185,Ambos sexos,Total Nacional,25 y más años,2021T3,13,29,13.29
186,Ambos sexos,Total Nacional,25 y más años,2021T2,13,6,13.6
187,Ambos sexos,Total Nacional,25 y más años,2021T1,14,45,14.45
188,Ambos sexos,Total Nacional,25 y más años,2020T4,14,55,14.55
189,Ambos sexos,Total Nacional,25 y más años,2020T3,14,51,14.51
190,Ambos sexos,Total Nacional,25 y más años,2020T2,13,81,13.81
191,Ambos sexos,Total Nacional,25 y más años,2020T1,13,14,13.14
192,Ambos sexos,Total Nacional,25 y más años,2019T4,12,61,12.61
193,Ambos sexos,Total Nacional,25 y más años,2019T3,12,55,12.55
194,Ambos sexos,Total Nacional,25 y más años,2019T2,12,67,12.67
195,Ambos sexos,Total Nacional,25 y más años,2019T1,13,31,13.31
196,Ambos sexos,Total Nacional,25 y más años,2018T4,13,11,13.11
197,Ambos sexos,Total Nacional,25 y más años,2018T3,13,16,13.16
198,Ambos sexos,Total Nacional,25 y más años,2018T2,13,91,13.91
199,Ambos sexos,Total Nacional,25 y más años,2018T1,15,44,15.44
200,Ambos sexos,Total Nacional,25 y más años,2017T4,15,8,15.8
201,Ambos sexos,Total Nacional,25 y más años,2017T3,14,89,14.89
202,Ambos sexos,Total Nacional,25 y más años,2017T2,15,67,15.67
203,Ambos sexos,Total Nacional,25 y más años,2017T1,17,22,17.22
204,Ambos sexos,Total Nacional,25 y más años,2016T4,17,,17.
205,Ambos sexos,Total Nacional,25 y más años,2016T3,17,24,17.24
206,Ambos sexos,Total Nacional,25 y más años,2016T2,18,15,18.15
207,Ambos sexos,Total Nacional,25 y más años,2016T1,19,28,19.28
208,Ambos sexos,Total Nacional,25 y más años,2015T4,19,13,19.13
209,Ambos sexos,Total Nacional,25 y más años,2015T3,19,22,19.22
210,Ambos sexos,Total Nacional,25 y más años,2015T2,20,42,20.42
211,Ambos sexos,Total Nacional,25 y más años,2015T1,21,81,21.81
212,Ambos sexos,Total Nacional,25 y más años,2014T4,21,64,21.64
213,Ambos sexos,Total Nacional,25 y más años,2014T3,21,43,21.43
214,Ambos sexos,Total Nacional,25 y más años,2014T2,22,35,22.35
215,Ambos sexos,Total Nacional,25 y más años,2014T1,23,72,23.72
216,Ambos sexos,Total Nacional,25 y más años,2013T4,23,48,23.48
217,Ambos sexos,Total Nacional,25 y más años,2013T3,23,28,23.28
218,Ambos sexos,Total Nacional,25 y más años,2013T2,23,68,23.68
219,Ambos sexos,Total Nacional,25 y más años,2013T1,24,54,24.54
220,Ambos sexos,Total Nacional,25 y más años,2012T4,23,46,23.46
221,Ambos sexos,Total Nacional,25 y más años,2012T3,22,42,22.42
222,Ambos sexos,Total Nacional,25 y más años,2012T2,21,99,21.99
223,Ambos sexos,Total Nacional,25 y más años,2012T1,21,9,21.9
224,Ambos sexos,Total Nacional,25 y más años,2011T4,20,37,20.37
225,Ambos sexos,Total Nacional,25 y más años,2011T3,18,99,18.99
226,Ambos sexos,Total Nacional,25 y más años,2011T2,18,36,18.36
227,Ambos sexos,Total Nacional,25 y más años,2011T1,18,9,18.9
228,Ambos sexos,Total Nacional,25 y más años,2010T4,18,2,18.2
229,Ambos sexos,Total Nacional,25 y más años,2010T3,17,49,17.49
230,Ambos sexos,Total Nacional,25 y más años,2010T2,17,72,17.72
231,Ambos sexos,Total Nacional,25 y más años,2010T1,17,81,17.81
232,Ambos sexos,Total Nacional,25 y más años,2009T4,16,65,16.65
233,Ambos sexos,Total Nacional,25 y más años,2009T3,15,45,15.45
234,Ambos sexos,Total Nacional,25 y más años,2009T2,15,59,15.59
235,Ambos sexos,Total Nacional,25 y más años,2009T1,15,25,15.25
236,Ambos sexos,Total Nacional,25 y más años,2008T4,12,6,12.6
237,Ambos sexos,Total Nacional,25 y más años,2008T3,9,63,9.63
238,Ambos sexos,Total Nacional,25 y más años,2008T2,8,8,8.8
239,Ambos sexos,Total Nacional,25 y más años,2008T1,8,27,8.27
240,Ambos sexos,Total Nacional,25 y más años,2007T4,7,37,7.37
241,Ambos sexos,Total Nacional,25 y más años,2007T3,6,73,6.73
242,Ambos sexos,Total Nacional,25 y más años,2007T2,6,68,6.68
243,Ambos sexos,Total Nacional,25 y más años,2007T1,7,29,7.29
244,Ambos sexos,Total Nacional,25 y más años,2006T4,7,7,7.7
245,Ambos sexos,Total Nacional,25 y más años,2006T3,6,91,6.91
246,Ambos sexos,Total Nacional,25 y más años,2006T2,7,18,7.18
247,Ambos sexos,Total Nacional,25 y más años,2006T1,7,79,7.79
248,Ambos sexos,Total Nacional,25 y más años,2005T4,7,41,7.41
249,Ambos sexos,Total Nacional,25 y más años,2005T3,7,6,7.6
250,Ambos sexos,Total Nacional,25 y más años,2005T2,7,83,7.83
251,Ambos sexos,Total Nacional,25 y más años,2005T1,8,62,8.62
252,Ambos sexos,Total Nacional,25 y más años,2004T4,9,13,9.13
253,Ambos sexos,Total Nacional,25 y más años,2004T3,9,22,9.22
254,Ambos sexos,Total Nacional,25 y más años,2004T2,9,56,9.56
255,Ambos sexos,Total Nacional,25 y más años,2004T1,10,,10.
256,Ambos sexos,Total Nacional,25 y más años,2003T4,9,78,9.78
257,Ambos sexos,Total Nacional,25 y más años,2003T3,9,71,9.71
258,Ambos sexos,Total Nacional,25 y más años,2003T2,9,72,9.72
259,Ambos sexos,Total Nacional,25 y más años,2003T1,10,37,10.37
260,Ambos sexos,Total Nacional,25 y más años,2002T4,9,92,9.92
261,Ambos sexos,Total Nacional,25 y más años,2002T3,9,87,9.87
262,Ambos sexos,Total Nacional,25 y más años,2002T2,9,6,9.6
263,Ambos sexos,Total Nacional,25 y más años,2002T1,9,96,9.96
264,Ambos sexos,Total Nacional,De 16 a 19 años,2023T4,42,46,42.46
265,Ambos sexos,Total Nacional,De 16 a 19 años,2023T3,40,18,40.18
266,Ambos sexos,Total Nacional,De 16 a 19 años,2023T2,42,94,42.94
267,Ambos sexos,Total Nacional,De 16 a 19 años,2023T1,46,91,46.91
268,Ambos sexos,Total Nacional,De 16 a 19 años,2022T4,42,81,42.81
269,Ambos sexos,Total Nacional,De 16 a 19 años,2022T3,45,42,45.42
270,Ambos sexos,Total Nacional,De 16 a 19 años,2022T2,48,67,48.67
271,Ambos sexos,Total Nacional,De 16 a 19 años,2022T1,46,43,46.43
272,Ambos sexos,Total Nacional,De 16 a 19 años,2021T4,49,22,49.22
273,Ambos sexos,Total Nacional,De 16 a 19 años,2021T3,42,82,42.82
274,Ambos sexos,Total Nacional,De 16 a 19 años,2021T2,56,56,56.56
275,Ambos sexos,Total Nacional,De 16 a 19 años,2021T1,58,23,58.23
276,Ambos sexos,Total Nacional,De 16 a 19 años,2020T4,60,14,60.14
277,Ambos sexos,Total Nacional,De 16 a 19 años,2020T3,55,93,55.93
278,Ambos sexos,Total Nacional,De 16 a 19 años,2020T2,54,5,54.5
279,Ambos sexos,Total Nacional,De 16 a 19 años,2020T1,47,29,47.29
280,Ambos sexos,Total Nacional,De 16 a 19 años,2019T4,43,9,43.9
281,Ambos sexos,Total Nacional,De 16 a 19 años,2019T3,42,15,42.15
282,Ambos sexos,Total Nacional,De 16 a 19 años,2019T2,46,26,46.26
283,Ambos sexos,Total Nacional,De 16 a 19 años,2019T1,49,26,49.26
284,Ambos sexos,Total Nacional,De 16 a 19 años,2018T4,46,89,46.89
285,Ambos sexos,Total Nacional,De 16 a 19 años,2018T3,45,43,45.43
286,Ambos sexos,Total Nacional,De 16 a 19 años,2018T2,51,64,51.64
287,Ambos sexos,Total Nacional,De 16 a 19 años,2018T1,56,15,56.15
288,Ambos sexos,Total Nacional,De 16 a 19 años,2017T4,54,2,54.2
289,Ambos sexos,Total Nacional,De 16 a 19 años,2017T3,50,41,50.41
290,Ambos sexos,Total Nacional,De 16 a 19 años,2017T2,55,98,55.98
291,Ambos sexos,Total Nacional,De 16 a 19 años,2017T1,58,74,58.74
292,Ambos sexos,Total Nacional,De 16 a 19 años,2016T4,58,67,58.67
293,Ambos sexos,Total Nacional,De 16 a 19 años,2016T3,54,69,54.69
294,Ambos sexos,Total Nacional,De 16 a 19 años,2016T2,63,52,63.52
295,Ambos sexos,Total Nacional,De 16 a 19 años,2016T1,64,12,64.12
296,Ambos sexos,Total Nacional,De 16 a 19 años,2015T4,66,9,66.9
297,Ambos sexos,Total Nacional,De 16 a 19 años,2015T3,63,73,63.73
298,Ambos sexos,Total Nacional,De 16 a 19 años,2015T2,69,36,69.36
299,Ambos sexos,Total Nacional,De 16 a 19 años,2015T1,70,45,70.45
300,Ambos sexos,Total Nacional,De 16 a 19 años,2014T4,67,28,67.28
301,Ambos sexos,Total Nacional,De 16 a 19 años,2014T3,66,71,66.71
302,Ambos sexos,Total Nacional,De 16 a 19 años,2014T2,70,39,70.39
303,Ambos sexos,Total Nacional,De 16 a 19 años,2014T1,70,16,70.16
304,Ambos sexos,Total Nacional,De 16 a 19 años,2013T4,75,53,75.53
305,Ambos sexos,Total Nacional,De 16 a 19 años,2013T3,72,15,72.15
306,Ambos sexos,Total Nacional,De 16 a 19 años,2013T2,73,,73.
307,Ambos sexos,Total Nacional,De 16 a 19 años,2013T1,75,63,75.63
308,Ambos sexos,Total Nacional,De 16 a 19 años,2012T4,73,88,73.88
309,Ambos sexos,Total Nacional,De 16 a 19 años,2012T3,71,89,71.89
310,Ambos sexos,Total Nacional,De 16 a 19 años,2012T2,73,19,73.19
311,Ambos sexos,Total Nacional,De 16 a 19 años,2012T1,71,44,71.44
312,Ambos sexos,Total Nacional,De 16 a 19 años,2011T4,69,15,69.15
313,Ambos sexos,Total Nacional,De 16 a 19 años,2011T3,60,38,60.38
314,Ambos sexos,Total Nacional,De 16 a 19 años,2011T2,62,53,62.53
315,Ambos sexos,Total Nacional,De 16 a 19 años,2011T1,65,3,65.3
316,Ambos sexos,Total Nacional,De 16 a 19 años,2010T4,63,67,63.67
317,Ambos sexos,Total Nacional,De 16 a 19 años,2010T3,59,99,59.99
318,Ambos sexos,Total Nacional,De 16 a 19 años,2010T2,62,15,62.15
319,Ambos sexos,Total Nacional,De 16 a 19 años,2010T1,59,54,59.54
320,Ambos sexos,Total Nacional,De 16 a 19 años,2009T4,57,47,57.47
321,Ambos sexos,Total Nacional,De 16 a 19 años,2009T3,53,52,53.52
322,Ambos sexos,Total Nacional,De 16 a 19 años,2009T2,56,18,56.18
323,Ambos sexos,Total Nacional,De 16 a 19 años,2009T1,54,25,54.25
324,Ambos sexos,Total Nacional,De 16 a 19 años,2008T4,45,83,45.83
325,Ambos sexos,Total Nacional,De 16 a 19 años,2008T3,38,34,38.34
326,Ambos sexos,Total Nacional,De 16 a 19 años,2008T2,40,96,40.96
327,Ambos sexos,Total Nacional,De 16 a 19 años,2008T1,32,82,32.82
328,Ambos sexos,Total Nacional,De 16 a 19 años,2007T4,31,8,31.8
329,Ambos sexos,Total Nacional,De 16 a 19 años,2007T3,27,21,27.21
330,Ambos sexos,Total Nacional,De 16 a 19 años,2007T2,29,19,29.19
331,Ambos sexos,Total Nacional,De 16 a 19 años,2007T1,27,59,27.59
332,Ambos sexos,Total Nacional,De 16 a 19 años,2006T4,31,23,31.23
333,Ambos sexos,Total Nacional,De 16 a 19 años,2006T3,24,87,24.87
334,Ambos sexos,Total Nacional,De 16 a 19 años,2006T2,31,22,31.22
335,Ambos sexos,Total Nacional,De 16 a 19 años,2006T1,29,68,29.68
336,Ambos sexos,Total Nacional,De 16 a 19 años,2005T4,27,83,27.83
337,Ambos sexos,Total Nacional,De 16 a 19 años,2005T3,26,88,26.88
338,Ambos sexos,Total Nacional,De 16 a 19 años,2005T2,31,7,31.7
339,Ambos sexos,Total Nacional,De 16 a 19 años,2005T1,31,21,31.21
340,Ambos sexos,Total Nacional,De 16 a 19 años,2004T4,29,4,29.4
341,Ambos sexos,Total Nacional,De 16 a 19 años,2004T3,29,28,29.28
342,Ambos sexos,Total Nacional,De 16 a 19 años,2004T2,32,16,32.16
343,Ambos sexos,Total Nacional,De 16 a 19 años,2004T1,32,45,32.45
344,Ambos sexos,Total Nacional,De 16 a 19 años,2003T4,32,7,32.7
345,Ambos sexos,Total Nacional,De 16 a 19 años,2003T3,31,49,31.49
346,Ambos sexos,Total Nacional,De 16 a 19 años,2003T2,34,13,34.13
347,Ambos sexos,Total Nacional,De 16 a 19 años,2003T1,33,85,33.85
348,Ambos sexos,Total Nacional,De 16 a 19 años,2002T4,31,55,31.55
349,Ambos sexos,Total Nacional,De 16 a 19 años,2002T3,30,6,30.6
350,Ambos sexos,Total Nacional,De 16 a 19 años,2002T2,29,48,29.48
351,Ambos sexos,Total Nacional,De 16 a 19 años,2002T1,28,42,28.42
352,Ambos sexos,Total Nacional,De 20 a 24 años,2023T4,25,57,25.57
353,Ambos sexos,Total Nacional,De 20 a 24 años,2023T3,24,92,24.92
354,Ambos sexos,Total Nacional,De 20 a 24 años,2023T2,24,87,24.87
355,Ambos sexos,Total Nacional,De 20 a 24 años,2023T1,26,73,26.73
356,Ambos sexos,Total Nacional,De 20 a 24 años,2022T4,26,51,26.51
357,Ambos sexos,Total Nacional,De 20 a 24 años,2022T3,27,6,27.6
358,Ambos sexos,Total Nacional,De 20 a 24 años,2022T2,24,1,24.1
359,Ambos sexos,Total Nacional,De 20 a 24 años,2022T1,26,75,26.75
360,Ambos sexos,Total Nacional,De 20 a 24 años,2021T4,27,6,27.6
361,Ambos sexos,Total Nacional,De 20 a 24 años,2021T3,28,38,28.38
362,Ambos sexos,Total Nacional,De 20 a 24 años,2021T2,34,56,34.56
363,Ambos sexos,Total Nacional,De 20 a 24 años,2021T1,36,52,36.52
364,Ambos sexos,Total Nacional,De 20 a 24 años,2020T4,36,52,36.52
365,Ambos sexos,Total Nacional,De 20 a 24 años,2020T3,37,18,37.18
366,Ambos sexos,Total Nacional,De 20 a 24 años,2020T2,36,89,36.89
367,Ambos sexos,Total Nacional,De 20 a 24 años,2020T1,30,12,30.12
368,Ambos sexos,Total Nacional,De 20 a 24 años,2019T4,27,72,27.72
369,Ambos sexos,Total Nacional,De 20 a 24 años,2019T3,29,28,29.28
370,Ambos sexos,Total Nacional,De 20 a 24 años,2019T2,30,22,30.22
371,Ambos sexos,Total Nacional,De 20 a 24 años,2019T1,32,,32.
372,Ambos sexos,Total Nacional,De 20 a 24 años,2018T4,30,78,30.78
373,Ambos sexos,Total Nacional,De 20 a 24 años,2018T3,30,1,30.1
374,Ambos sexos,Total Nacional,De 20 a 24 años,2018T2,30,97,30.97
