iter	Logloss
0	0.619000939
1	0.5589264859
2	0.5092542522
3	0.4661776897
4	0.429997041
5	0.3997231385
6	0.3725516714
7	0.3500661959
8	0.3296521446
9	0.3120049256
10	0.2967217793
11	0.2834793201
12	0.2723046689
13	0.2620235383
14	0.2531683006
15	0.2451730826
16	0.2379030542
17	0.2315352251
18	0.2268675466
19	0.2219354514
20	0.2179057105
21	0.2140024309
22	0.2106954774
23	0.2076084494
24	0.204743891
25	0.2023090584
26	0.2003176024
27	0.1979287979
28	0.1961169862
29	0.1946541959
30	0.1931645946
31	0.1916236571
32	0.1905517449
33	0.1893264183
34	0.1885015009
35	0.1873793374
36	0.1864977242
37	0.1859645383
38	0.1853646477
39	0.1845942177
40	0.1839928161
41	0.1835221764
42	0.1830463708
43	0.1827827289
44	0.1823039787
45	0.1820272413
46	0.1815276596
47	0.1812531822
48	0.1808338787
49	0.1804510206
50	0.1801808826
51	0.179936742
52	0.179586894
53	0.179174332
54	0.1789825349
55	0.1787252083
56	0.1786240599
57	0.1783067055
58	0.1781128291
59	0.1778948538
60	0.1776393999
61	0.1775079534
62	0.1774214762
63	0.1772915537
64	0.17708546
65	0.1768802057
66	0.1767881105
67	0.1766603061
68	0.1765707293
69	0.1764069443
70	0.1763138805
71	0.176105178
72	0.1757783313
73	0.1757051691
74	0.1755110732
75	0.1754228396
76	0.1751922982
77	0.1751674373
78	0.1750826519
79	0.1749211141
80	0.1748876261
81	0.1747669764
82	0.1747080593
83	0.1745307913
84	0.1744292296
85	0.1743223083
86	0.1741555658
87	0.1740000463
88	0.1739016875
89	0.1737477435
90	0.1736810517
91	0.1734209743
92	0.173155421
93	0.1729880973
94	0.1728102094
95	0.1725773563
96	0.1723873156
97	0.1722869292
98	0.1720960103
99	0.1720602493
100	0.1719897089
101	0.171849093
102	0.1717481771
103	0.1715151819
104	0.1713779109
105	0.1712822254
106	0.1711459101
107	0.1710347399
108	0.1709476686
109	0.1708214655
110	0.1707627938
111	0.1705935717
112	0.1705606519
113	0.1703072514
114	0.1700670627
115	0.1700572733
116	0.1698831695
117	0.1698212432
118	0.1696357872
119	0.1694651058
120	0.1693186395
121	0.169125693
122	0.1690328875
123	0.1689722269
124	0.168835847
125	0.1686753036
126	0.1684883237
127	0.1683714968
128	0.1682737579
129	0.1680695368
130	0.1680099997
131	0.1678777009
132	0.1677542617
133	0.167664362
134	0.1675355631
135	0.1674789706
136	0.1673938365
137	0.1671969898
138	0.1670715229
139	0.1668997695
140	0.1667788098
141	0.1666017356
142	0.1664948659
143	0.1664007173
144	0.1663245719
145	0.1662714406
146	0.166204103
147	0.1660184404
148	0.1658467516
149	0.1657368728
